dreamteam_count,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team,position,player_name
1,7.5,3.7,9.1,131,3499976,3056403,2950,11,3,10,48,0,0,0,7,0,0,17,441,613.8,469.6,1345.0,242.9,Aston Villa,Forward,Ollie Watkins
0,4.4,1.4,0.1,22,25124,32183,899,0,0,2,20,0,0,0,5,0,0,0,124,139.2,42.2,0.0,18.3,Aston Villa,Midfielder,Marvelous Nakamba
2,6.1,3.1,1.3,107,245664,553313,1887,4,6,7,32,0,0,0,1,0,0,8,378,482.8,660.5,531.0,167.8,Aston Villa,Midfielder,Emiliano Buendía Stati
3,5.3,3.9,11.5,147,2025221,1193273,3377,4,3,13,50,0,0,0,8,0,0,11,623,754.8,432.1,534.0,172.1,Aston Villa,Defender,Matthew Cash
1,4.9,2.7,0.9,78,239492,263840,2477,2,0,8,43,0,0,0,4,2,0,4,388,428.2,56.5,251.0,73.4,Aston Villa,Defender,Ezri Konsa Ngoyo
0,5.4,1.0,0.1,1,9629,27272,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,Aston Villa,Forward,Wesley Moraes
0,4.5,1.0,1.4,1,347758,424534,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.0,0.0,0.1,Aston Villa,Forward,Keinan Davis
0,4.3,2.6,1.9,89,621406,553863,2715,2,3,10,38,0,0,0,7,0,0,3,468,503.2,547.9,199.0,125.1,Aston Villa,Midfielder,Douglas Luiz Soares de Paulo
3,4.7,3.2,4.9,109,1608958,1224264,2465,6,1,12,35,0,0,0,6,0,0,9,402,538.2,334.0,432.0,130.7,Aston Villa,Midfielder,Jacob Ramsey
0,4.7,2.1,0.5,50,77403,124937,1234,0,2,4,19,1,0,0,2,0,0,0,224,187.4,201.9,113.0,50.2,Aston Villa,Defender,Ashley Young
0,5.0,2.9,5.9,83,1209188,2123002,2440,0,4,7,42,1,0,0,6,0,0,8,459,538.8,772.7,202.0,151.6,Aston Villa,Defender,Lucas Digne
1,7.7,3.5,9.3,106,1796002,3904674,1891,7,6,10,26,0,0,0,4,0,0,12,344,448.6,210.9,749.0,140.3,Aston Villa,Forward,Danny Ings
0,6.3,2.1,0.4,37,82553,250477,750,1,3,2,13,0,0,0,3,0,0,1,98,143.2,118.5,271.0,53.2,Aston Villa,Midfielder,Leon Bailey
0,5.0,1.0,0.0,1,1105,2552,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Aston Villa,Midfielder,Jaden Philogene-Bidace
0,4.5,1.3,0.1,16,8866,8807,291,0,1,0,6,0,0,0,0,0,0,0,43,44.0,34.6,69.0,14.9,Aston Villa,Midfielder,Carney Chukwuemeka
0,4.5,1.0,0.8,3,271066,230443,24,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.8,18.0,1.6,Aston Villa,Forward,Cameron Archer
0,4.5,1.3,0.0,4,679,442,90,0,0,1,0,0,0,0,1,0,0,0,17,10.6,2.0,4.0,1.7,Aston Villa,Midfielder,Tim Iroegbunam
2,7.1,4.4,10.6,83,3249482,2323243,1327,5,3,7,17,0,0,0,0,0,0,7,283,360.8,349.3,445.0,115.7,Aston Villa,Midfielder,Philippe Coutinho Correia
0,4.0,1.0,0.0,1,3876,1896,90,0,0,0,3,0,0,0,0,0,2,0,14,18.8,0.0,0.0,1.9,Aston Villa,Goalkeeper,Robin Olsen
1,4.5,3.3,7.0,122,1557057,1107054,3321,3,4,8,56,0,0,0,7,0,0,13,616,782.0,67.2,476.0,133.0,Brentford,Defender,Pontus Jansson
0,5.0,2.9,0.6,101,212491,209171,3054,3,4,8,51,0,0,0,8,0,0,5,502,694.8,409.8,434.0,154.3,Brentford,Midfielder,Christian Nørgaard
3,6.9,4.2,18.8,139,4035001,4651860,2908,12,5,8,47,0,0,0,8,0,0,19,502,717.8,573.6,1320.0,260.7,Brentford,Forward,Ivan Toney
0,5.1,1.0,0.0,1,2458,9065,16,0,0,0,0,0,0,0,0,0,0,0,4,5.2,4.8,21.0,3.1,Brentford,Midfielder,Tariqe Fosu-Henry
1,4.4,4.0,4.6,95,1150280,1076857,2160,0,0,8,27,0,0,0,1,0,78,5,496,593.4,10.0,0.0,60.1,Brentford,Goalkeeper,David Raya Martin
1,5.5,2.6,1.0,81,419588,455260,2077,3,3,8,36,1,0,0,6,1,0,5,268,386.4,283.6,439.0,111.0,Brentford,Midfielder,Sergi Canós
0,5.3,0.8,0.0,7,1242,2380,250,0,0,0,6,0,0,0,0,1,0,0,27,30.2,41.2,30.0,10.0,Brentford,Midfielder,Pelenda Joshua Dasilva
1,4.5,3.2,1.2,108,303575,276061,2775,3,0,9,41,0,0,0,2,0,0,4,453,451.0,325.4,235.0,101.0,Brentford,Defender,Rico Henry
2,4.9,2.9,0.2,90,60062,51191,2295,4,0,9,37,0,0,0,3,0,0,8,343,460.6,331.1,400.0,119.0,Brentford,Midfielder,Vitaly Janelt
0,5.2,1.8,0.0,30,3276,6067,524,1,2,1,4,0,0,0,2,0,0,0,115,128.4,96.3,133.0,36.0,Brentford,Midfielder,Saman Ghoddos
0,4.9,1.7,0.0,54,14419,15054,1590,0,1,3,30,0,0,0,0,0,0,2,246,253.2,540.6,198.0,99.3,Brentford,Midfielder,Mathias Jensen
0,3.9,1.7,1.1,10,341735,373901,448,0,0,1,6,0,0,0,3,0,0,0,64,54.8,82.7,24.0,16.0,Brentford,Defender,Charlie Goode
0,5.3,1.6,0.1,11,25518,35389,203,0,1,0,4,0,0,0,0,0,0,0,35,20.8,12.5,55.0,8.7,Brentford,Forward,Marcus Forss
1,4.1,2.0,0.2,41,28459,21369,1232,1,1,1,27,0,0,0,1,0,0,4,170,200.2,125.8,81.0,40.8,Brentford,Defender,Mads Roerslev Rasmussen
0,4.3,2.0,0.1,22,3881,9990,833,0,0,2,14,0,0,0,3,0,0,1,139,127.6,89.7,44.0,26.1,Brentford,Defender,Mads Bech Sørensen
1,4.4,2.8,2.7,90,858922,846137,2694,1,1,7,43,0,0,0,1,0,0,7,517,648.8,151.7,335.0,113.5,Brentford,Defender,Ethan Pinnock
1,5.2,3.4,1.9,119,843273,783204,2905,4,7,9,47,0,0,0,4,0,0,6,310,459.8,520.6,967.0,193.7,Brentford,Midfielder,Bryan Mbeumo
0,4.4,1.0,0.1,4,7635,11427,36,0,0,0,0,0,0,0,0,0,0,0,11,6.6,0.7,0.0,0.8,Brentford,Midfielder,Mads Bidstrup
0,4.9,1.8,0.1,35,13501,17263,1040,0,2,3,19,0,0,0,4,0,0,0,117,93.0,73.5,174.0,33.7,Brentford,Midfielder,Frank Onyeka
1,4.4,3.4,0.7,81,136468,136461,1995,1,3,8,32,0,0,0,5,0,0,5,384,390.0,124.2,184.0,70.0,Brentford,Defender,Kristoffer Ajer
0,4.4,1.5,0.0,3,2586,5329,146,0,0,0,3,0,0,0,0,0,0,0,12,15.8,1.2,6.0,2.3,Brentford,Defender,Dominic Thompson
0,4.9,1.6,0.0,35,8990,10458,898,1,0,2,15,0,0,0,0,1,0,2,120,139.0,120.8,145.0,40.3,Brentford,Midfielder,Shandon Baptiste
0,5.7,3.1,0.3,92,38811,24374,1268,7,2,3,22,0,0,0,0,0,0,6,277,348.0,133.1,402.0,87.6,Brentford,Midfielder,Yoane Wissa
0,4.5,2.6,0.4,31,164504,139409,1080,0,0,1,24,1,0,0,0,0,49,2,218,353.2,0.0,0.0,35.2,Brentford,Goalkeeper,Álvaro Fernández
0,3.9,1.0,0.3,1,51209,36328,14,0,0,0,0,0,0,0,0,0,0,0,4,8.6,10.3,2.0,2.1,Brentford,Defender,Finley Stevens
0,4.5,2.2,0.0,18,11291,11401,516,1,0,1,10,0,0,0,2,0,0,0,84,108.6,44.9,57.0,21.1,Brentford,Defender,Mathias Jorgensen
0,4.5,1.0,1.1,1,210758,119029,3,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,Brentford,Forward,Nathan Young-Coombes
0,4.5,1.0,0.0,2,1482,1122,180,0,0,0,5,0,0,0,0,0,2,0,21,15.4,0.0,0.0,1.6,Brentford,Goalkeeper,Jonas Lössl
0,5.6,3.9,1.8,43,258104,99005,938,1,4,4,10,0,0,0,1,0,0,2,221,285.6,482.4,192.0,95.8,Brentford,Midfielder,Christian Eriksen
0,5.3,1.8,0.1,44,25642,39007,1559,0,1,6,20,0,0,0,4,0,0,0,240,209.4,162.9,173.0,54.6,Brighton,Midfielder,Adam Lallana
0,3.9,2.0,2.8,2,479616,437939,90,0,0,0,2,0,0,0,0,0,3,0,17,28.8,0.0,0.0,2.9,Brighton,Goalkeeper,Jason Steele
1,5.6,3.0,0.3,88,181447,210743,2033,2,5,8,24,0,0,1,1,0,0,7,405,475.2,961.8,370.0,180.9,Brighton,Midfielder,Pascal Groß
1,4.0,2.7,7.6,48,2541117,2375367,1434,1,1,4,19,0,0,0,7,0,0,3,288,380.6,58.2,282.0,72.2,Brighton,Defender,Shane Duffy
1,4.8,3.2,2.3,92,357320,658755,2573,1,0,10,33,0,0,0,3,1,0,7,537,570.0,63.5,327.0,96.1,Brighton,Defender,Lewis Dunk
0,5.3,2.0,0.1,61,9744,14673,1733,0,2,7,23,0,0,0,1,0,0,0,216,278.4,528.4,291.0,109.7,Brighton,Midfielder,Solomon March
2,4.3,2.7,0.3,59,91645,117809,1429,2,0,4,20,0,0,0,5,0,0,6,266,416.8,51.4,120.0,58.9,Brighton,Defender,Adam Webster
0,4.2,2.8,1.4,95,234723,388674,2874,1,1,8,39,0,0,0,6,0,0,5,545,582.2,275.8,183.0,104.4,Brighton,Defender,Joël Veltman
2,6.2,3.1,4.3,98,2063720,1920442,2269,8,3,7,31,0,0,1,7,0,0,11,295,370.4,366.0,721.0,143.5,Brighton,Forward,Neal Maupay
3,5.9,4.1,2.8,141,876755,755335,2803,8,4,11,33,0,0,0,2,0,0,16,465,627.6,708.3,1020.0,235.4,Brighton,Midfielder,Leandro Trossard
1,4.5,3.4,14.5,126,1601669,2209833,3330,0,0,11,42,0,0,0,3,1,101,8,679,811.0,30.0,0.0,84.0,Brighton,Goalkeeper,Robert Sánchez
1,4.4,2.5,4.8,66,1181126,1782957,2110,1,2,7,28,0,0,0,10,0,0,9,351,429.2,169.3,126.0,72.4,Brighton,Midfielder,Yves Bissouma
1,4.5,2.5,1.8,74,444866,341659,1547,0,2,6,21,0,0,0,4,0,0,7,308,254.6,367.9,175.0,79.4,Brighton,Defender,Tariq Lamptey
0,5.3,1.2,0.1,5,19775,32755,154,0,0,0,1,0,0,0,0,0,0,0,12,2.4,13.1,18.0,3.1,Brighton,Forward,Aaron Connolly
0,4.8,1.4,0.0,13,3643,6463,401,0,0,0,7,0,0,0,0,0,0,0,77,70.2,40.8,21.0,13.3,Brighton,Midfielder,Steven Alzate
1,5.1,2.8,0.5,93,170501,167759,2112,5,2,6,29,0,0,1,4,0,0,8,398,509.6,490.7,550.0,154.9,Brighton,Midfielder,Alexis Mac Allister
0,4.5,2.1,0.5,58,162170,163433,1694,0,3,5,23,0,0,0,1,0,0,0,227,239.6,286.0,372.0,90.3,Brighton,Midfielder,Jakub Moder
2,6.0,3.6,1.6,89,222797,98962,1469,6,4,5,16,0,0,0,0,0,0,13,247,361.8,228.9,598.0,117.8,Brighton,Forward,Danny Welbeck
1,5.9,3.2,0.1,58,25266,31830,990,2,5,3,13,0,0,0,2,0,0,5,200,244.8,143.2,210.0,59.4,Brighton,Midfielder,Enock Mwepu
0,4.5,1.0,0.0,2,4122,4340,23,0,0,0,0,0,0,0,0,0,0,0,5,4.6,12.8,8.0,2.5,Brighton,Midfielder,Taylor Richards
0,4.5,3.4,0.1,27,8852,3043,660,1,1,4,6,0,0,0,2,0,0,1,124,145.4,64.6,131.0,34.1,Brighton,Midfielder,Moisés Caicedo
1,4.9,3.6,4.1,126,902819,567343,3089,1,1,11,39,0,0,0,6,0,0,21,673,679.8,700.8,207.0,159.1,Brighton,Defender,Marc Cucurella
0,4.4,1.0,0.9,1,309704,252914,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.1,3.0,0.1,Brighton,Forward,Jürgen Locadia
0,4.5,1.0,0.0,5,1837,1774,44,0,0,0,2,0,0,0,0,0,0,0,15,2.8,2.4,2.0,0.8,Brighton,Midfielder,Jeremy Sarmiento
0,4.5,1.0,0.4,1,100291,65940,22,0,0,0,1,0,0,0,0,0,0,0,4,2.0,4.8,2.0,0.9,Brighton,Forward,Evan Ferguson
1,4.9,2.4,1.3,83,303587,315287,3106,1,2,7,51,1,0,0,11,0,0,5,486,892.6,118.1,315.0,132.8,Burnley,Defender,James Tarkowski
1,4.1,3.1,0.1,37,64560,69732,726,0,1,4,5,0,0,0,1,0,0,1,157,179.0,43.4,48.0,27.0,Burnley,Defender,Erik Pieters
1,4.4,2.4,0.1,48,23126,25320,1670,1,0,6,26,0,0,0,4,0,0,3,143,168.0,106.3,110.0,38.2,Burnley,Midfielder,Jack Cork
0,4.4,1.3,0.0,4,5759,6399,123,0,0,1,0,0,0,0,1,0,0,0,11,12.8,12.4,1.0,2.6,Burnley,Midfielder,Dale Stephens
0,4.0,1.2,0.2,7,147313,146979,408,0,0,0,7,0,0,0,1,0,0,0,31,33.2,0.4,20.0,5.4,Burnley,Defender,Kevin Long
1,5.1,2.1,1.2,60,384468,365094,1365,2,3,6,15,0,0,0,3,0,0,4,159,176.4,166.0,455.0,78.4,Burnley,Forward,Jay Rodriguez
0,5.2,1.4,1.1,32,177294,241269,793,1,0,1,19,0,0,0,4,0,0,2,60,84.6,107.6,196.0,37.4,Burnley,Forward,Ashley Barnes
2,4.6,3.5,0.6,74,571082,596943,1839,3,0,6,25,1,0,0,3,0,0,3,325,463.8,63.4,238.0,76.6,Burnley,Defender,Ben Mee
0,5.2,2.3,0.2,63,65865,105782,2286,0,4,4,40,0,0,0,7,0,0,2,303,298.2,517.1,153.0,96.5,Burnley,Midfielder,Ashley Westwood
0,5.4,1.8,0.1,33,7793,11881,1097,0,1,3,19,0,0,0,2,0,0,0,100,134.0,137.5,193.0,46.5,Burnley,Midfielder,Johann Berg Gudmundsson
1,4.4,2.6,1.0,65,296955,407943,1771,1,3,4,30,0,0,0,3,1,0,5,337,404.2,264.9,95.0,76.5,Burnley,Defender,Matthew Lowton
0,5.2,2.1,0.5,46,119873,155530,665,2,3,2,7,0,0,0,1,0,0,4,138,172.4,77.5,239.0,48.4,Burnley,Forward,Matej Vydra
2,5.3,3.6,3.5,130,462033,487758,3240,0,0,9,47,0,0,0,1,0,120,12,683,902.8,20.0,0.0,92.4,Burnley,Goalkeeper,Nick Pope
2,4.4,2.5,0.7,78,112893,105200,2730,0,3,5,48,0,0,0,3,0,0,8,454,565.0,341.8,52.0,95.9,Burnley,Defender,Charlie Taylor
3,4.3,2.6,3.6,92,878097,887431,2952,2,3,7,45,0,0,0,10,0,0,8,428,573.4,572.5,277.0,142.5,Burnley,Midfielder,Josh Brownhill
0,5.5,2.2,0.2,84,72988,80783,3104,0,1,9,49,0,0,0,1,0,0,1,440,565.2,754.3,505.0,182.9,Burnley,Midfielder,Dwight McNeil
1,4.3,2.9,0.5,55,59805,26865,1670,2,0,5,26,0,0,0,2,1,0,1,272,436.0,78.2,254.0,77.0,Burnley,Defender,Nathan Collins
0,4.5,2.0,0.3,4,23008,24698,180,0,0,0,6,0,0,0,0,0,8,0,37,62.8,30.0,0.0,9.3,Burnley,Goalkeeper,Wayne Hennessey
0,4.6,2.1,0.1,60,30463,25258,1541,2,1,4,25,0,0,0,2,0,0,1,172,190.8,137.3,218.0,54.3,Burnley,Midfielder,Aaron Lennon
2,5.8,4.0,0.8,104,620482,569245,1764,9,2,5,24,0,0,1,2,0,0,9,242,434.6,260.4,620.0,131.5,Burnley,Midfielder,Maxwel Cornet
3,4.4,3.3,0.6,69,132337,80732,1689,1,1,6,23,0,0,0,2,0,0,6,313,302.0,196.3,100.0,59.8,Burnley,Defender,Connor Roberts
1,6.2,2.8,4.0,55,1392668,1025088,1448,2,3,6,20,0,0,0,3,0,0,6,134,203.0,191.6,371.0,76.1,Burnley,Forward,Wout Weghorst
1,5.6,3.2,3.3,87,905299,1022389,2067,1,3,7,23,0,0,0,3,0,0,2,453,476.4,310.0,212.0,100.0,Chelsea,Defender,César Azpilicueta
2,5.6,4.1,7.9,130,1344324,1023523,2649,3,1,11,28,0,0,0,2,0,0,14,667,829.4,133.9,229.0,119.4,Chelsea,Defender,Thiago Emiliano da Silva
5,5.7,4.6,15.3,128,4009140,3196283,2164,4,5,9,22,0,0,0,8,0,0,14,528,560.2,677.3,566.0,180.6,Chelsea,Defender,Marcos Alonso
3,5.7,3.7,3.9,106,910993,1070231,2271,6,2,12,16,0,0,1,5,0,0,11,519,605.8,429.3,214.0,125.1,Chelsea,Midfielder,Jorge Luiz Frello Filho
0,5.2,2.3,0.1,14,6042,13311,174,1,0,1,2,0,0,0,0,0,0,1,43,61.4,117.7,87.0,26.7,Chelsea,Midfielder,Ross Barkley
1,4.9,3.0,1.7,76,1219878,1188368,1552,2,5,8,11,0,0,0,4,0,0,7,348,409.6,407.4,198.0,101.5,Chelsea,Midfielder,Mateo Kovacic
3,6.1,4.4,18.8,150,4451212,3653421,3035,3,3,15,27,0,0,0,9,0,0,10,661,608.8,262.6,484.0,135.5,Chelsea,Defender,Antonio Rüdiger
0,4.5,4.8,0.3,19,66332,74017,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0.0,9.6,Chelsea,Goalkeeper,Kepa Arrizabalaga
0,4.9,3.0,2.4,79,427754,637223,1769,2,5,9,19,0,0,0,2,0,0,2,377,455.6,414.3,223.0,109.3,Chelsea,Midfielder,N'Golo Kanté
1,7.3,3.4,0.8,79,259632,257610,1311,4,3,7,12,0,0,0,3,0,0,9,281,365.2,458.6,504.0,132.6,Chelsea,Midfielder,Hakim Ziyech
0,5.4,2.2,0.2,52,41936,39284,1384,0,3,5,21,0,0,0,1,0,0,1,251,282.8,291.1,218.0,79.2,Chelsea,Midfielder,Ruben Loftus-Cheek
0,4.6,3.6,1.4,69,576277,592957,1494,0,0,9,11,0,0,0,2,0,0,3,343,296.4,103.4,20.0,42.0,Chelsea,Defender,Andreas Christensen
1,8.5,3.0,2.3,62,614163,829893,1278,4,2,5,17,0,0,0,1,0,0,5,175,207.6,153.1,773.0,112.7,Chelsea,Forward,Timo Werner
2,5.6,7.9,3.0,55,1606235,2373769,541,3,1,4,2,0,0,0,0,0,0,5,161,175.8,161.1,202.0,54.0,Chelsea,Defender,Benjamin Chilwell
0,7.9,3.5,0.7,77,152141,232464,1282,6,2,6,10,0,0,0,2,0,0,2,206,317.6,223.9,434.0,97.5,Chelsea,Midfielder,Christian Pulisic
5,7.7,5.3,21.9,169,5186908,4986661,2358,11,11,11,25,0,0,0,4,0,0,16,597,823.8,944.9,995.0,276.3,Chelsea,Midfielder,Mason Mount
0,5.3,3.3,0.2,49,164455,170356,958,1,4,6,8,0,0,0,1,0,0,1,163,175.4,326.9,326.0,82.7,Chelsea,Midfielder,Callum Hudson-Odoi
1,7.9,3.9,5.8,112,1767599,2224577,1802,8,4,10,18,0,0,0,3,0,0,5,271,461.2,329.5,939.0,171.9,Chelsea,Midfielder,Kai Havertz
5,6.5,5.4,19.1,141,5506522,4598122,1863,5,9,7,22,1,0,0,4,1,0,26,573,605.2,733.4,440.0,178.0,Chelsea,Defender,Reece James
0,6.1,3.8,11.4,130,1622939,1775936,3060,0,0,14,31,0,0,0,3,0,73,3,573,585.8,0.0,0.0,58.2,Chelsea,Goalkeeper,Edouard Mendy
