,dreamteam_count,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team,position,player_name
476,0,4.3,1.1,0.2,10,49976,54548,396,0,0,0,8,0,0,0,3,0,0,0,58,47.0,33.2,10.0,9.0,Watford,Midfielder,Oghenekaro Peter Etebo
477,2,5.6,2.7,2.9,87,1882523,1712180,2244,5,4,3,47,0,0,0,5,0,0,5,268,403.0,460.1,696.0,155.5,Watford,Forward,Joshua King
478,1,4.9,2.5,1.6,62,684766,635227,1138,5,2,1,34,1,0,0,3,0,0,8,247,305.8,289.5,397.0,98.7,Watford,Forward,Juan Camilo Hernández Suárez
479,0,5.5,2.1,0.1,54,142868,136830,1917,1,2,2,34,1,0,0,3,1,0,2,218,304.8,164.2,353.0,82.1,Watford,Midfielder,Juraj Kucka
480,0,5.0,1.4,0.0,10,2095,2307,334,0,0,0,9,0,0,0,0,0,0,0,22,18.2,53.1,23.0,9.0,Watford,Midfielder,Ozan Tufan
481,0,4.4,1.7,0.0,5,1131,1183,167,0,0,0,2,0,0,0,0,0,0,0,27,23.4,10.7,0.0,3.5,Watford,Defender,Nicolas Nkoulou
482,0,4.5,2.0,0.1,38,33471,25869,1622,1,0,3,37,0,0,0,3,1,0,3,299,368.8,153.3,45.0,56.5,Watford,Defender,Hassane Kamara
483,0,4.5,1.9,0.0,36,7533,6447,1674,0,0,4,36,0,0,0,4,0,0,0,272,298.2,24.7,121.0,44.5,Watford,Defender,Samir Caetano de Souza Santos
484,0,4.5,1.8,0.0,24,4683,4035,795,0,0,2,17,0,0,0,0,0,0,1,127,121.0,91.7,30.0,24.3,Watford,Midfielder,Edo Kayembe
485,0,4.9,1.8,0.0,7,786,618,221,0,0,1,6,0,0,0,0,0,0,0,23,21.8,31.9,24.0,7.8,Watford,Midfielder,Samuel Kalu
486,0,5.4,2.8,1.2,66,199711,249885,2078,1,0,5,29,1,0,0,1,0,0,5,388,506.0,33.3,131.0,67.2,West Ham,Defender,Kurt Zouma
487,0,4.3,1.7,0.7,19,124839,131155,325,1,0,1,5,0,0,1,0,0,0,1,76,85.2,24.5,34.0,14.4,West Ham,Midfielder,Mark Noble
488,3,5.0,3.7,2.8,136,445018,398488,3330,0,0,8,50,0,3,0,2,0,114,9,661,918.6,0.0,0.0,91.8,West Ham,Goalkeeper,Lukasz Fabianski
489,1,4.9,3.6,0.2,40,81650,90656,921,1,0,3,11,0,0,0,1,0,0,6,182,167.0,5.3,67.0,24.0,West Ham,Defender,Angelo Ogbonna
490,1,5.4,3.7,7.9,115,1231696,1977338,2726,2,4,7,38,0,0,0,3,0,0,17,578,589.2,545.7,187.0,132.4,West Ham,Defender,Aaron Cresswell
491,0,5.0,1.3,0.1,25,10630,24982,303,1,0,1,4,0,0,0,1,0,0,0,73,75.4,63.2,150.0,28.6,West Ham,Midfielder,Andriy Yarmolenko
492,4,7.3,3.9,24.3,140,7618487,7847889,2975,10,10,7,43,0,0,1,6,1,0,14,441,649.2,615.6,1274.0,252.7,West Ham,Forward,Michail Antonio
493,0,4.9,2.6,0.8,90,212517,176739,2752,2,3,6,43,0,0,0,4,1,0,1,466,712.0,62.4,389.0,116.6,West Ham,Defender,Craig Dawson
494,0,4.4,1.0,0.1,7,6101,12633,303,0,0,0,6,0,0,0,1,0,0,0,38,29.6,31.6,4.0,6.6,West Ham,Defender,Ryan Fredericks
495,1,5.6,3.1,0.4,92,144077,131225,1777,5,3,4,29,0,0,0,2,0,0,8,440,425.4,373.5,201.0,100.3,West Ham,Midfielder,Manuel Lanzini
496,1,4.4,2.2,0.1,29,55653,53461,645,1,1,1,12,0,0,0,1,0,0,3,145,178.2,57.2,39.0,27.5,West Ham,Defender,Arthur Masuaku
497,1,4.7,2.5,3.1,70,728018,1464828,2207,0,4,6,36,1,0,0,3,1,0,3,384,433.2,359.9,167.0,95.8,West Ham,Defender,Vladimir Coufal
498,4,5.9,4.3,10.7,138,4289826,4288183,2162,8,6,9,27,0,0,0,0,0,0,15,441,561.0,476.4,737.0,177.6,West Ham,Midfielder,Saïd Benrahma
499,6,6.9,5.7,15.0,206,4802662,3652007,2987,12,17,8,46,0,0,0,6,0,0,24,586,822.2,627.2,1223.0,267.4,West Ham,Midfielder,Jarrod Bowen
