,dreamteam_count,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team,position,player_name
53,0,4.0,1.0,0.0,1,3876,1896,90,0,0,0,3,0,0,0,0,0,2,0,14,18.8,0.0,0.0,1.9,Aston Villa,Goalkeeper,Robin Olsen
54,1,4.5,3.3,7.0,122,1557057,1107054,3321,3,4,8,56,0,0,0,7,0,0,13,616,782.0,67.2,476.0,133.0,Brentford,Defender,Pontus Jansson
55,0,5.0,2.9,0.6,101,212491,209171,3054,3,4,8,51,0,0,0,8,0,0,5,502,694.8,409.8,434.0,154.3,Brentford,Midfielder,Christian Nørgaard
56,3,6.9,4.2,18.8,139,4035001,4651860,2908,12,5,8,47,0,0,0,8,0,0,19,502,717.8,573.6,1320.0,260.7,Brentford,Forward,Ivan Toney
57,0,5.1,1.0,0.0,1,2458,9065,16,0,0,0,0,0,0,0,0,0,0,0,4,5.2,4.8,21.0,3.1,Brentford,Midfielder,Tariqe Fosu-Henry
58,1,4.4,4.0,4.6,95,1150280,1076857,2160,0,0,8,27,0,0,0,1,0,78,5,496,593.4,10.0,0.0,60.1,Brentford,Goalkeeper,David Raya Martin
59,1,5.5,2.6,1.0,81,419588,455260,2077,3,3,8,36,1,0,0,6,1,0,5,268,386.4,283.6,439.0,111.0,Brentford,Midfielder,Sergi Canós
60,0,5.3,0.8,0.0,7,1242,2380,250,0,0,0,6,0,0,0,0,1,0,0,27,30.2,41.2,30.0,10.0,Brentford,Midfielder,Pelenda Joshua Dasilva
61,1,4.5,3.2,1.2,108,303575,276061,2775,3,0,9,41,0,0,0,2,0,0,4,453,451.0,325.4,235.0,101.0,Brentford,Defender,Rico Henry
62,2,4.9,2.9,0.2,90,60062,51191,2295,4,0,9,37,0,0,0,3,0,0,8,343,460.6,331.1,400.0,119.0,Brentford,Midfielder,Vitaly Janelt
63,0,5.2,1.8,0.0,30,3276,6067,524,1,2,1,4,0,0,0,2,0,0,0,115,128.4,96.3,133.0,36.0,Brentford,Midfielder,Saman Ghoddos
64,0,4.9,1.7,0.0,54,14419,15054,1590,0,1,3,30,0,0,0,0,0,0,2,246,253.2,540.6,198.0,99.3,Brentford,Midfielder,Mathias Jensen
65,0,3.9,1.7,1.1,10,341735,373901,448,0,0,1,6,0,0,0,3,0,0,0,64,54.8,82.7,24.0,16.0,Brentford,Defender,Charlie Goode
66,0,5.3,1.6,0.1,11,25518,35389,203,0,1,0,4,0,0,0,0,0,0,0,35,20.8,12.5,55.0,8.7,Brentford,Forward,Marcus Forss
67,1,4.1,2.0,0.2,41,28459,21369,1232,1,1,1,27,0,0,0,1,0,0,4,170,200.2,125.8,81.0,40.8,Brentford,Defender,Mads Roerslev Rasmussen
68,0,4.3,2.0,0.1,22,3881,9990,833,0,0,2,14,0,0,0,3,0,0,1,139,127.6,89.7,44.0,26.1,Brentford,Defender,Mads Bech Sørensen
69,1,4.4,2.8,2.7,90,858922,846137,2694,1,1,7,43,0,0,0,1,0,0,7,517,648.8,151.7,335.0,113.5,Brentford,Defender,Ethan Pinnock
70,1,5.2,3.4,1.9,119,843273,783204,2905,4,7,9,47,0,0,0,4,0,0,6,310,459.8,520.6,967.0,193.7,Brentford,Midfielder,Bryan Mbeumo
71,0,4.4,1.0,0.1,4,7635,11427,36,0,0,0,0,0,0,0,0,0,0,0,11,6.6,0.7,0.0,0.8,Brentford,Midfielder,Mads Bidstrup
72,0,4.9,1.8,0.1,35,13501,17263,1040,0,2,3,19,0,0,0,4,0,0,0,117,93.0,73.5,174.0,33.7,Brentford,Midfielder,Frank Onyeka
73,1,4.4,3.4,0.7,81,136468,136461,1995,1,3,8,32,0,0,0,5,0,0,5,384,390.0,124.2,184.0,70.0,Brentford,Defender,Kristoffer Ajer
74,0,4.4,1.5,0.0,3,2586,5329,146,0,0,0,3,0,0,0,0,0,0,0,12,15.8,1.2,6.0,2.3,Brentford,Defender,Dominic Thompson
75,0,4.9,1.6,0.0,35,8990,10458,898,1,0,2,15,0,0,0,0,1,0,2,120,139.0,120.8,145.0,40.3,Brentford,Midfielder,Shandon Baptiste
76,0,5.7,3.1,0.3,92,38811,24374,1268,7,2,3,22,0,0,0,0,0,0,6,277,348.0,133.1,402.0,87.6,Brentford,Midfielder,Yoane Wissa
77,0,4.5,2.6,0.4,31,164504,139409,1080,0,0,1,24,1,0,0,0,0,49,2,218,353.2,0.0,0.0,35.2,Brentford,Goalkeeper,Álvaro Fernández
78,0,3.9,1.0,0.3,1,51209,36328,14,0,0,0,0,0,0,0,0,0,0,0,4,8.6,10.3,2.0,2.1,Brentford,Defender,Finley Stevens
79,0,4.5,2.2,0.0,18,11291,11401,516,1,0,1,10,0,0,0,2,0,0,0,84,108.6,44.9,57.0,21.1,Brentford,Defender,Mathias Jorgensen
80,0,4.5,1.0,1.1,1,210758,119029,3,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,Brentford,Forward,Nathan Young-Coombes
81,0,4.5,1.0,0.0,2,1482,1122,180,0,0,0,5,0,0,0,0,0,2,0,21,15.4,0.0,0.0,1.6,Brentford,Goalkeeper,Jonas Lössl
82,0,5.6,3.9,1.8,43,258104,99005,938,1,4,4,10,0,0,0,1,0,0,2,221,285.6,482.4,192.0,95.8,Brentford,Midfielder,Christian Eriksen
83,0,5.3,1.8,0.1,44,25642,39007,1559,0,1,6,20,0,0,0,4,0,0,0,240,209.4,162.9,173.0,54.6,Brighton,Midfielder,Adam Lallana
84,0,3.9,2.0,2.8,2,479616,437939,90,0,0,0,2,0,0,0,0,0,3,0,17,28.8,0.0,0.0,2.9,Brighton,Goalkeeper,Jason Steele
85,1,5.6,3.0,0.3,88,181447,210743,2033,2,5,8,24,0,0,1,1,0,0,7,405,475.2,961.8,370.0,180.9,Brighton,Midfielder,Pascal Groß
86,1,4.0,2.7,7.6,48,2541117,2375367,1434,1,1,4,19,0,0,0,7,0,0,3,288,380.6,58.2,282.0,72.2,Brighton,Defender,Shane Duffy
87,1,4.8,3.2,2.3,92,357320,658755,2573,1,0,10,33,0,0,0,3,1,0,7,537,570.0,63.5,327.0,96.1,Brighton,Defender,Lewis Dunk
88,0,5.3,2.0,0.1,61,9744,14673,1733,0,2,7,23,0,0,0,1,0,0,0,216,278.4,528.4,291.0,109.7,Brighton,Midfielder,Solomon March
89,2,4.3,2.7,0.3,59,91645,117809,1429,2,0,4,20,0,0,0,5,0,0,6,266,416.8,51.4,120.0,58.9,Brighton,Defender,Adam Webster
90,0,4.2,2.8,1.4,95,234723,388674,2874,1,1,8,39,0,0,0,6,0,0,5,545,582.2,275.8,183.0,104.4,Brighton,Defender,Joël Veltman
91,2,6.2,3.1,4.3,98,2063720,1920442,2269,8,3,7,31,0,0,1,7,0,0,11,295,370.4,366.0,721.0,143.5,Brighton,Forward,Neal Maupay
92,3,5.9,4.1,2.8,141,876755,755335,2803,8,4,11,33,0,0,0,2,0,0,16,465,627.6,708.3,1020.0,235.4,Brighton,Midfielder,Leandro Trossard
93,1,4.5,3.4,14.5,126,1601669,2209833,3330,0,0,11,42,0,0,0,3,1,101,8,679,811.0,30.0,0.0,84.0,Brighton,Goalkeeper,Robert Sánchez
94,1,4.4,2.5,4.8,66,1181126,1782957,2110,1,2,7,28,0,0,0,10,0,0,9,351,429.2,169.3,126.0,72.4,Brighton,Midfielder,Yves Bissouma
95,1,4.5,2.5,1.8,74,444866,341659,1547,0,2,6,21,0,0,0,4,0,0,7,308,254.6,367.9,175.0,79.4,Brighton,Defender,Tariq Lamptey
96,0,5.3,1.2,0.1,5,19775,32755,154,0,0,0,1,0,0,0,0,0,0,0,12,2.4,13.1,18.0,3.1,Brighton,Forward,Aaron Connolly
97,0,4.8,1.4,0.0,13,3643,6463,401,0,0,0,7,0,0,0,0,0,0,0,77,70.2,40.8,21.0,13.3,Brighton,Midfielder,Steven Alzate
98,1,5.1,2.8,0.5,93,170501,167759,2112,5,2,6,29,0,0,1,4,0,0,8,398,509.6,490.7,550.0,154.9,Brighton,Midfielder,Alexis Mac Allister
99,0,4.5,2.1,0.5,58,162170,163433,1694,0,3,5,23,0,0,0,1,0,0,0,227,239.6,286.0,372.0,90.3,Brighton,Midfielder,Jakub Moder
100,2,6.0,3.6,1.6,89,222797,98962,1469,6,4,5,16,0,0,0,0,0,0,13,247,361.8,228.9,598.0,117.8,Brighton,Forward,Danny Welbeck
101,1,5.9,3.2,0.1,58,25266,31830,990,2,5,3,13,0,0,0,2,0,0,5,200,244.8,143.2,210.0,59.4,Brighton,Midfielder,Enock Mwepu
102,0,4.5,1.0,0.0,2,4122,4340,23,0,0,0,0,0,0,0,0,0,0,0,5,4.6,12.8,8.0,2.5,Brighton,Midfielder,Taylor Richards
103,0,4.5,3.4,0.1,27,8852,3043,660,1,1,4,6,0,0,0,2,0,0,1,124,145.4,64.6,131.0,34.1,Brighton,Midfielder,Moisés Caicedo
104,1,4.9,3.6,4.1,126,902819,567343,3089,1,1,11,39,0,0,0,6,0,0,21,673,679.8,700.8,207.0,159.1,Brighton,Defender,Marc Cucurella
105,0,4.4,1.0,0.9,1,309704,252914,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.1,3.0,0.1,Brighton,Forward,Jürgen Locadia
106,0,4.5,1.0,0.0,5,1837,1774,44,0,0,0,2,0,0,0,0,0,0,0,15,2.8,2.4,2.0,0.8,Brighton,Midfielder,Jeremy Sarmiento
107,0,4.5,1.0,0.4,1,100291,65940,22,0,0,0,1,0,0,0,0,0,0,0,4,2.0,4.8,2.0,0.9,Brighton,Forward,Evan Ferguson
108,1,4.9,2.4,1.3,83,303587,315287,3106,1,2,7,51,1,0,0,11,0,0,5,486,892.6,118.1,315.0,132.8,Burnley,Defender,James Tarkowski
109,1,4.1,3.1,0.1,37,64560,69732,726,0,1,4,5,0,0,0,1,0,0,1,157,179.0,43.4,48.0,27.0,Burnley,Defender,Erik Pieters
110,1,4.4,2.4,0.1,48,23126,25320,1670,1,0,6,26,0,0,0,4,0,0,3,143,168.0,106.3,110.0,38.2,Burnley,Midfielder,Jack Cork
111,0,4.4,1.3,0.0,4,5759,6399,123,0,0,1,0,0,0,0,1,0,0,0,11,12.8,12.4,1.0,2.6,Burnley,Midfielder,Dale Stephens
112,0,4.0,1.2,0.2,7,147313,146979,408,0,0,0,7,0,0,0,1,0,0,0,31,33.2,0.4,20.0,5.4,Burnley,Defender,Kevin Long
113,1,5.1,2.1,1.2,60,384468,365094,1365,2,3,6,15,0,0,0,3,0,0,4,159,176.4,166.0,455.0,78.4,Burnley,Forward,Jay Rodriguez
114,0,5.2,1.4,1.1,32,177294,241269,793,1,0,1,19,0,0,0,4,0,0,2,60,84.6,107.6,196.0,37.4,Burnley,Forward,Ashley Barnes
115,2,4.6,3.5,0.6,74,571082,596943,1839,3,0,6,25,1,0,0,3,0,0,3,325,463.8,63.4,238.0,76.6,Burnley,Defender,Ben Mee
116,0,5.2,2.3,0.2,63,65865,105782,2286,0,4,4,40,0,0,0,7,0,0,2,303,298.2,517.1,153.0,96.5,Burnley,Midfielder,Ashley Westwood
117,0,5.4,1.8,0.1,33,7793,11881,1097,0,1,3,19,0,0,0,2,0,0,0,100,134.0,137.5,193.0,46.5,Burnley,Midfielder,Johann Berg Gudmundsson
118,1,4.4,2.6,1.0,65,296955,407943,1771,1,3,4,30,0,0,0,3,1,0,5,337,404.2,264.9,95.0,76.5,Burnley,Defender,Matthew Lowton
119,0,5.2,2.1,0.5,46,119873,155530,665,2,3,2,7,0,0,0,1,0,0,4,138,172.4,77.5,239.0,48.4,Burnley,Forward,Matej Vydra
120,2,5.3,3.6,3.5,130,462033,487758,3240,0,0,9,47,0,0,0,1,0,120,12,683,902.8,20.0,0.0,92.4,Burnley,Goalkeeper,Nick Pope
121,2,4.4,2.5,0.7,78,112893,105200,2730,0,3,5,48,0,0,0,3,0,0,8,454,565.0,341.8,52.0,95.9,Burnley,Defender,Charlie Taylor
122,3,4.3,2.6,3.6,92,878097,887431,2952,2,3,7,45,0,0,0,10,0,0,8,428,573.4,572.5,277.0,142.5,Burnley,Midfielder,Josh Brownhill
123,0,5.5,2.2,0.2,84,72988,80783,3104,0,1,9,49,0,0,0,1,0,0,1,440,565.2,754.3,505.0,182.9,Burnley,Midfielder,Dwight McNeil
124,1,4.3,2.9,0.5,55,59805,26865,1670,2,0,5,26,0,0,0,2,1,0,1,272,436.0,78.2,254.0,77.0,Burnley,Defender,Nathan Collins
125,0,4.5,2.0,0.3,4,23008,24698,180,0,0,0,6,0,0,0,0,0,8,0,37,62.8,30.0,0.0,9.3,Burnley,Goalkeeper,Wayne Hennessey
126,0,4.6,2.1,0.1,60,30463,25258,1541,2,1,4,25,0,0,0,2,0,0,1,172,190.8,137.3,218.0,54.3,Burnley,Midfielder,Aaron Lennon
127,2,5.8,4.0,0.8,104,620482,569245,1764,9,2,5,24,0,0,1,2,0,0,9,242,434.6,260.4,620.0,131.5,Burnley,Midfielder,Maxwel Cornet
128,3,4.4,3.3,0.6,69,132337,80732,1689,1,1,6,23,0,0,0,2,0,0,6,313,302.0,196.3,100.0,59.8,Burnley,Defender,Connor Roberts
129,1,6.2,2.8,4.0,55,1392668,1025088,1448,2,3,6,20,0,0,0,3,0,0,6,134,203.0,191.6,371.0,76.1,Burnley,Forward,Wout Weghorst
130,1,5.6,3.2,3.3,87,905299,1022389,2067,1,3,7,23,0,0,0,3,0,0,2,453,476.4,310.0,212.0,100.0,Chelsea,Defender,César Azpilicueta
131,2,5.6,4.1,7.9,130,1344324,1023523,2649,3,1,11,28,0,0,0,2,0,0,14,667,829.4,133.9,229.0,119.4,Chelsea,Defender,Thiago Emiliano da Silva
132,5,5.7,4.6,15.3,128,4009140,3196283,2164,4,5,9,22,0,0,0,8,0,0,14,528,560.2,677.3,566.0,180.6,Chelsea,Defender,Marcos Alonso
133,3,5.7,3.7,3.9,106,910993,1070231,2271,6,2,12,16,0,0,1,5,0,0,11,519,605.8,429.3,214.0,125.1,Chelsea,Midfielder,Jorge Luiz Frello Filho
134,0,5.2,2.3,0.1,14,6042,13311,174,1,0,1,2,0,0,0,0,0,0,1,43,61.4,117.7,87.0,26.7,Chelsea,Midfielder,Ross Barkley
135,1,4.9,3.0,1.7,76,1219878,1188368,1552,2,5,8,11,0,0,0,4,0,0,7,348,409.6,407.4,198.0,101.5,Chelsea,Midfielder,Mateo Kovacic
136,3,6.1,4.4,18.8,150,4451212,3653421,3035,3,3,15,27,0,0,0,9,0,0,10,661,608.8,262.6,484.0,135.5,Chelsea,Defender,Antonio Rüdiger
137,0,4.5,4.8,0.3,19,66332,74017,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0.0,9.6,Chelsea,Goalkeeper,Kepa Arrizabalaga
138,0,4.9,3.0,2.4,79,427754,637223,1769,2,5,9,19,0,0,0,2,0,0,2,377,455.6,414.3,223.0,109.3,Chelsea,Midfielder,N'Golo Kanté
139,1,7.3,3.4,0.8,79,259632,257610,1311,4,3,7,12,0,0,0,3,0,0,9,281,365.2,458.6,504.0,132.6,Chelsea,Midfielder,Hakim Ziyech
140,0,5.4,2.2,0.2,52,41936,39284,1384,0,3,5,21,0,0,0,1,0,0,1,251,282.8,291.1,218.0,79.2,Chelsea,Midfielder,Ruben Loftus-Cheek
141,0,4.6,3.6,1.4,69,576277,592957,1494,0,0,9,11,0,0,0,2,0,0,3,343,296.4,103.4,20.0,42.0,Chelsea,Defender,Andreas Christensen
142,1,8.5,3.0,2.3,62,614163,829893,1278,4,2,5,17,0,0,0,1,0,0,5,175,207.6,153.1,773.0,112.7,Chelsea,Forward,Timo Werner
143,2,5.6,7.9,3.0,55,1606235,2373769,541,3,1,4,2,0,0,0,0,0,0,5,161,175.8,161.1,202.0,54.0,Chelsea,Defender,Benjamin Chilwell
144,0,7.9,3.5,0.7,77,152141,232464,1282,6,2,6,10,0,0,0,2,0,0,2,206,317.6,223.9,434.0,97.5,Chelsea,Midfielder,Christian Pulisic
145,5,7.7,5.3,21.9,169,5186908,4986661,2358,11,11,11,25,0,0,0,4,0,0,16,597,823.8,944.9,995.0,276.3,Chelsea,Midfielder,Mason Mount
146,0,5.3,3.3,0.2,49,164455,170356,958,1,4,6,8,0,0,0,1,0,0,1,163,175.4,326.9,326.0,82.7,Chelsea,Midfielder,Callum Hudson-Odoi
147,1,7.9,3.9,5.8,112,1767599,2224577,1802,8,4,10,18,0,0,0,3,0,0,5,271,461.2,329.5,939.0,171.9,Chelsea,Midfielder,Kai Havertz
148,5,6.5,5.4,19.1,141,5506522,4598122,1863,5,9,7,22,1,0,0,4,1,0,26,573,605.2,733.4,440.0,178.0,Chelsea,Defender,Reece James
149,0,6.1,3.8,11.4,130,1622939,1775936,3060,0,0,14,31,0,0,0,3,0,73,3,573,585.8,0.0,0.0,58.2,Chelsea,Goalkeeper,Edouard Mendy
150,0,4.9,3.8,0.2,30,23131,21753,544,0,0,4,7,0,0,0,2,0,0,4,141,118.4,60.4,1.0,17.9,Chelsea,Defender,Malang Sarr
151,3,4.7,5.0,2.4,99,965891,911068,1447,3,1,9,9,0,0,0,2,0,0,11,396,405.8,105.8,151.0,66.1,Chelsea,Defender,Trevoh Chalobah
152,2,11.4,3.3,7.7,87,4049347,4443263,1583,8,1,7,14,0,0,0,1,0,0,12,310,367.0,303.3,704.0,137.2,Chelsea,Forward,Romelu Lukaku
153,0,4.5,1.0,0.0,1,868,2241,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,2.0,0.2,Chelsea,Defender,Emerson Palmieri dos Santos
154,0,4.9,1.6,0.1,16,40477,40451,478,0,1,1,6,0,0,0,1,0,0,0,68,89.6,66.0,60.0,21.5,Chelsea,Midfielder,Saúl Ñíguez
155,0,4.5,4.0,0.0,4,1089,764,58,0,1,0,0,0,0,0,0,0,0,0,19,30.6,25.0,24.0,8.0,Chelsea,Defender,Robert Kenedy Nunes do Nascimento
156,4,6.0,4.1,11.2,140,4656284,3852922,2843,8,6,11,38,0,0,0,10,0,0,16,469,673.8,635.9,672.0,197.9,Crystal Palace,Midfielder,Conor Gallagher
157,1,4.6,4.0,5.6,119,923128,875081,2655,0,0,11,33,0,0,0,2,0,83,11,567,614.6,0.0,0.0,61.4,Crystal Palace,Goalkeeper,Vicente Guaita
158,1,4.3,2.1,0.1,17,20816,25185,545,1,0,0,11,0,0,0,2,0,0,2,97,140.4,22.0,88.0,25.1,Crystal Palace,Defender,James Tomkins
159,0,4.3,2.6,1.1,54,567449,536483,1434,0,4,5,15,0,0,0,4,0,0,5,288,324.2,256.6,120.0,70.0,Crystal Palace,Midfielder,James McArthur
160,1,5.9,2.3,1.2,58,504738,547559,1132,4,1,4,20,0,0,0,3,0,0,6,173,250.2,176.7,523.0,94.3,Crystal Palace,Forward,Christian Benteke
161,0,4.5,2.9,0.6,77,103114,108826,1970,0,1,8,28,0,0,0,3,0,0,5,395,315.0,85.8,41.0,44.3,Crystal Palace,Defender,Cheikhou Kouyaté
162,0,5.2,1.3,0.0,19,3745,10512,767,0,0,1,16,1,0,0,1,0,0,0,118,88.6,196.6,38.0,32.3,Crystal Palace,Midfielder,Luka Milivojevic
163,0,5.8,2.5,1.0,77,374485,362841,2012,3,4,9,31,0,0,0,2,0,0,3,281,349.2,361.3,491.0,120.1,Crystal Palace,Forward,Jordan Ayew
164,2,6.9,4.5,8.5,150,1716571,1569368,2759,14,2,11,34,0,0,2,4,1,0,11,422,777.2,660.5,1001.0,243.8,Crystal Palace,Midfielder,Wilfried Zaha
165,1,5.4,2.7,0.1,86,14062,14874,1840,4,2,8,19,0,0,0,1,0,0,2,297,412.0,249.8,486.0,114.9,Crystal Palace,Midfielder,Jeffrey Schlupp
166,1,4.4,3.3,0.4,30,153287,159107,765,0,0,1,13,0,1,0,0,0,17,3,132,155.0,0.0,0.0,15.7,Crystal Palace,Goalkeeper,Jack Butland
167,0,4.7,1.3,0.0,4,2519,4531,116,0,0,0,5,0,0,0,0,0,0,0,16,11.2,27.5,2.0,4.0,Crystal Palace,Midfielder,Jairo Riedewald
168,0,5.3,2.8,2.7,61,462031,229762,1138,5,1,5,14,0,0,0,2,0,0,6,182,253.6,112.8,568.0,93.4,Crystal Palace,Forward,Jean-Philippe Mateta
169,0,5.9,2.4,0.1,31,134473,127765,599,1,1,3,8,0,0,0,1,0,0,2,125,120.0,175.3,135.0,43.2,Crystal Palace,Midfielder,Eberechi Eze
170,0,4.5,1.0,0.0,1,1502,1579,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,Crystal Palace,Defender,Nathan Ferguson
171,1,4.5,3.0,1.4,109,326055,262305,3101,0,2,10,43,0,0,0,1,0,0,6,561,619.2,380.5,111.0,111.1,Crystal Palace,Defender,Tyrick Mitchell
172,0,4.7,2.1,0.1,34,14877,16697,1050,0,2,4,16,0,0,0,6,0,0,2,164,159.0,143.0,60.0,36.3,Crystal Palace,Midfielder,Will Hughes
173,0,5.3,2.8,0.2,73,124120,112450,1127,2,6,4,14,0,0,0,4,0,0,8,287,308.2,389.0,269.0,96.5,Crystal Palace,Midfielder,Michael Olise
174,0,4.5,2.6,0.2,73,34993,40709,2486,0,0,9,37,0,0,0,8,0,0,2,422,455.8,132.5,64.0,65.4,Crystal Palace,Defender,Joel Ward
175,0,4.5,3.4,2.0,123,416457,276706,3222,2,1,11,43,0,0,0,4,0,0,8,676,720.6,98.5,290.0,111.1,Crystal Palace,Defender,Marc Guéhi
176,2,4.7,3.6,2.7,124,352240,152589,2914,0,4,12,37,1,0,0,4,0,0,14,619,630.6,234.0,142.0,100.7,Crystal Palace,Defender,Joachim Andersen
177,0,4.3,3.7,0.8,59,89474,26161,1351,0,1,6,12,0,0,0,1,0,0,4,264,181.0,99.1,17.0,29.9,Crystal Palace,Defender,Nathaniel Clyne
178,0,4.4,2.0,0.0,4,3832,3709,79,0,0,1,0,0,0,0,0,0,0,0,7,1.0,6.1,2.0,0.8,Crystal Palace,Midfielder,Jesurun Rak-Sakyi
179,2,6.0,3.1,2.9,87,1672653,1469963,1554,6,4,9,19,0,0,0,4,0,0,9,280,389.8,265.7,618.0,127.6,Crystal Palace,Forward,Odsonne Edouard
180,0,5.6,2.0,0.3,22,83955,162874,392,1,1,1,8,0,0,0,2,0,0,1,61,74.6,85.2,85.0,24.4,Everton,Midfielder,Anwar El Ghazi
181,0,4.2,1.6,1.3,18,244824,156991,660,0,0,3,6,0,0,0,2,0,0,0,118,115.6,58.4,16.0,19.0,Everton,Midfielder,Fabian Delph
182,2,4.9,2.6,1.0,79,215011,189438,2656,1,1,7,50,1,0,0,4,0,0,6,439,469.4,232.1,170.0,86.9,Everton,Defender,Seamus Coleman
183,3,4.6,3.2,2.7,102,670104,685603,2791,3,2,8,54,2,0,0,2,1,0,11,518,697.0,97.0,231.0,102.7,Everton,Defender,Michael Keane
184,1,4.8,3.3,6.3,116,721786,767080,3150,0,0,7,58,0,0,0,2,0,117,12,624,863.2,43.0,0.0,90.5,Everton,Goalkeeper,Jordan Pickford
185,0,4.3,2.1,2.9,58,1077267,1008066,2181,0,3,6,38,0,0,0,7,1,0,2,313,391.4,228.4,82.0,70.4,Everton,Midfielder,Allan Marques Loureiro
186,0,4.9,1.3,0.1,18,8975,17572,614,0,1,0,19,0,0,0,3,0,0,0,47,84.0,85.2,136.0,30.6,Everton,Midfielder,André Filipe Tavares Gomes
187,1,5.3,3.0,1.2,90,846803,854757,2536,2,5,5,47,0,0,0,6,0,0,8,387,481.8,285.8,441.0,121.1,Everton,Midfielder,Abdoulaye Doucouré
188,0,5.8,2.8,0.3,78,39361,40693,2029,2,2,6,38,0,0,0,1,0,0,6,312,370.0,501.4,357.0,122.7,Everton,Midfielder,Alex Iwobi
189,0,4.9,1.8,0.3,24,36513,72493,844,0,0,2,10,0,0,0,3,0,0,0,133,164.8,18.2,66.0,24.6,Everton,Defender,Yerry Mina
190,0,4.8,2.0,0.1,12,6411,11623,230,1,0,0,9,0,0,0,1,0,0,0,44,61.6,8.6,90.0,16.1,Everton,Midfielder,Tom Davies
191,1,7.7,3.8,3.0,64,1469276,2119738,1281,5,2,3,31,0,0,1,2,0,0,10,207,255.8,144.7,448.0,84.7,Everton,Forward,Dominic Calvert-Lewin
192,0,4.2,2.5,1.6,62,217790,146613,2133,2,2,5,42,1,0,0,7,1,0,2,312,431.2,42.1,120.0,59.3,Everton,Defender,Mason Holgate
193,0,4.7,2.0,0.4,45,47500,99414,2029,0,0,4,39,0,0,0,6,0,0,1,318,416.0,164.6,222.0,80.5,Everton,Defender,Ben Godfrey
194,2,7.6,4.2,12.3,125,2445134,2330597,2522,10,6,7,46,0,0,0,9,0,0,19,413,651.4,383.7,1010.0,203.9,Everton,Forward,Richarlison de Andrade
195,0,5.7,2.1,0.3,31,109639,107111,550,2,0,2,14,0,0,0,1,0,0,1,119,156.8,77.6,118.0,35.3,Everton,Midfielder,Donny van de Beek
196,0,6.2,1.7,1.0,35,385004,459063,985,1,0,3,23,0,0,0,4,0,0,1,103,189.2,142.6,129.0,46.1,Everton,Midfielder,Bamidele Alli
197,0,4.0,4.3,2.3,13,230872,224279,270,0,0,1,8,0,0,0,0,0,11,3,61,81.8,0.0,0.0,8.2,Everton,Goalkeeper,Asmir Begović
198,3,5.2,3.1,2.1,66,1531076,1495235,1452,3,2,3,30,0,0,0,3,0,0,8,252,351.6,468.9,221.0,103.9,Everton,Midfielder,Andros Townsend
199,0,5.4,3.1,5.2,106,3188458,2920714,2336,5,5,6,39,0,0,0,3,0,0,3,397,486.2,644.2,758.0,189.0,Everton,Midfielder,Demarai Gray
200,0,4.3,1.4,0.1,21,11276,13335,1015,0,1,1,24,0,0,0,1,1,0,0,147,164.6,175.4,44.0,38.5,Everton,Defender,Jonjoe Kenny
201,2,4.7,2.9,5.7,100,874372,366043,2277,4,3,7,40,0,0,0,4,0,0,9,325,460.4,523.0,632.0,161.6,Everton,Midfielder,Anthony Gordon
202,0,4.4,1.0,0.0,3,3330,4784,65,0,0,0,2,0,0,0,0,0,0,0,10,7.0,0.6,0.0,0.8,Everton,Midfielder,Jean-Philippe Gbamin
203,0,4.0,1.2,0.3,7,56637,47223,387,1,0,0,17,0,0,0,0,1,0,1,49,90.2,2.8,44.0,13.8,Everton,Defender,Jarrad Branthwaite
204,0,6.0,1.0,0.0,1,2460,3301,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,Everton,Forward,Moise Kean
205,0,6.0,1.5,0.2,30,78947,72780,779,1,1,2,16,0,0,0,2,1,0,2,73,94.2,108.9,339.0,53.8,Everton,Forward,Salomón Rondón
206,0,4.5,2.0,0.2,2,69799,59138,61,0,0,1,0,0,0,0,0,0,0,0,6,6.4,0.4,0.0,0.7,Everton,Forward,Ellis Simms
207,0,4.5,0.7,0.9,2,183641,111602,30,0,0,0,1,0,0,0,1,0,0,0,6,2.4,0.9,4.0,0.8,Everton,Forward,Lewis Dobbin
208,0,5.0,1.0,0.1,1,133649,127224,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,Everton,Forward,Cenk Tosun
209,0,4.5,1.0,0.0,3,774,571,27,0,0,0,0,0,0,0,0,0,0,0,8,1.2,0.0,18.0,1.9,Everton,Midfielder,Tyler Onyango
210,1,4.9,3.2,1.2,42,140613,32986,1054,1,1,3,17,0,0,0,0,0,0,3,177,187.4,138.8,66.0,39.4,Everton,Defender,Vitalii Mykolenko
211,0,4.5,1.0,0.0,1,140,78,13,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,0.1,8.0,0.6,Everton,Midfielder,Isaac Price
